,title,venue,pages,year,type,access,doi
0,Recommender Systems for Online Video Game Platforms: the Case of STEAM.,WWW,763-771,2019,Conference and Workshop Papers,closed,10.1145/3308560.3316457
1,A Deep Recurrent Collaborative Filtering Framework for Venue Recommendation.,CIKM,1429-1438,2017,Conference and Workshop Papers,closed,10.1145/3132847.3133036
2,The recommender system for virtual items in MMORPGs based on a novel collaborative filtering approach.,Int. J. Syst. Sci.,2100-2115,2014,Journal Articles,closed,10.1080/00207721.2012.762560
3,Using Argumentation to Persuade Students in an Educational Recommender System.,PERSUASIVE,227-239,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-55134-0_18
4,GAN-based Matrix Factorization for Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,
5,An Automatic User Grouping Model for a Group Recommender System in Location-Based Social Networks.,ISPRS Int. J. Geo Inf.,67,2018,Journal Articles,open,10.3390/IJGI7020067
6,Feature-Aware Factorised Collaborative Filtering.,Australasian Conference on Artificial Intelligence,561-569,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-50127-7_50
7,An Adaptive Method for the Tag-Rating-Based Recommender System.,AMT,206-214,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-35236-2_21
8,Extending the engineering trade-off analysis by integrating user preferences in conjoint analysis.,Expert Syst. Appl.,2947-2955,2013,Journal Articles,closed,10.1016/J.ESWA.2012.12.010
9,Monitoring of Collaborative Assembly Operations: An OEE Based Approach.,APMS,121-127,2009,Conference and Workshop Papers,open,10.1007/978-3-642-16358-6_16
10,Articulating User Needs in Collaborative Design: Towards an Activity-Theoretical Approach.,Comput. Support. Cooperative Work.,129-151,2002,Journal Articles,closed,10.1023/A:1015256909032
11,User Modeling Approaches towards Adaptation of Users' Roles to Improve Group Interaction in Collaborative 3D Games.,HCI,668-677,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-21619-0_79
12,Trust and Trustworthiness in Social Recommender Systems.,WWW,529-532,2019,Conference and Workshop Papers,closed,10.1145/3308560.3317596
13,Latent space regularization for recommender systems.,Inf. Sci.,202-216,2016,Journal Articles,closed,10.1016/J.INS.2016.04.042
14,Recommender Systems for an Enhanced Mobile e-Learning.,HCI,357-365,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-30033-3_28
15,An integrated assessment approach to different collaborative filtering algorithms.,IEEE BigData,3954-3956,2016,Conference and Workshop Papers,closed,10.1109/BIGDATA.2016.7841073
16,Collaborative filtering based on information-theoretic co-clustering.,Int. J. Syst. Sci.,589-597,2014,Journal Articles,closed,10.1080/00207721.2012.724109
17,"Identifying the Goal, User model and Conditions of Recommender Systems for Formal and Informal Learning.",J. Digit. Inf.,,2009,Journal Articles,open,
18,"Factors Influencing the Acceptance, Use, and Continued Use of the E-Learning Recommender Systems: Descriptive Statistical Analysis Data Findings.",Int. J. Inf. Commun. Technol. Hum. Dev.,31-50,2018,Journal Articles,closed,10.4018/IJICTHD.2018010103
19,Co-Designing a Recommender System for the Elderly.,PETRA,52-55,2017,Conference and Workshop Papers,closed,10.1145/3056540.3064948
20,Optimized Recommender Systems with Deep Reinforcement Learning.,CoRR,,2021,Informal and Other Publications,open,
21,An Adaptive Match-Making System reflecting the explicit and implicit preferences of users.,Expert Syst. Appl.,1196-1204,2013,Journal Articles,closed,10.1016/J.ESWA.2012.08.019
22,Content Prompting: Modeling Content Provider Dynamics to Improve User Welfare in Recommender Ecosystems.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2309.00940
23,DeepCF: A Unified Framework of Representation Learning and Matching Function Learning in Recommender System.,CoRR,,2019,Informal and Other Publications,open,
